Protein_ID,UniProt_ID
Protein_29,P54646
Protein_15,P00519
Protein_18,P36896
Protein_17,Q04771
Protein_24,P31749
Protein_25,P31751
Protein_26,Q9Y243
Protein_27,Q9UM73
Protein_30,Q8NFD2
Protein_34,O14965
Protein_19,P27037
Protein_20,Q13705
Protein_39,P51451
Protein_42,Q13873
Protein_40,P36894
Protein_41,O00238
Protein_43,P51813
Protein_44,P15056
Protein_47,Q8TDC3
Protein_49,Q06187
Protein_63,Q14004
Protein_294,Q00536
Protein_296,Q07002
Protein_64,Q9BWU1
Protein_301,P61075
Protein_301,Q07785
Protein_65,P24941
Protein_66,Q00526
Protein_69,Q00535
Protein_70,P50613
Protein_71,P49336
Protein_72,P50750
Protein_74,Q92772
Protein_75,Q8IVW4
Protein_300,P62344
Protein_300,P62343
Protein_300,A0A2I0BVG8
Protein_77,O14757
Protein_182,Q9UPZ9
Protein_82,P49761
Protein_83,Q9HAZ1
Protein_22,Q8NI60
Protein_23,Q96D53
Protein_84,P07333
Protein_93,P68399
Protein_93,P68400
Protein_94,P19784
Protein_85,P41240
Protein_79,O14578
Protein_96,P53355
Protein_97,Q9UIK4
Protein_98,O43293
Protein_101,Q9C098
Protein_105,Q09013
Protein_110,Q9Y463
Protein_124,Q9BQI3
Protein_349,P19525
Protein_112,P00533
Protein_126,P29317
Protein_127,P29320
Protein_128,P54764
Protein_131,Q15375
Protein_132,P29322
Protein_133,P54762
Protein_135,P54753
Protein_136,P54760
Protein_137,O15197
Protein_139,P21860
Protein_147,O75460
Protein_148,Q05397
Protein_149,P16591
Protein_150,P07332
Protein_153,P22607
Protein_156,P09769
Protein_158,P36888
Protein_166,P42685
Protein_168,O14976
Protein_170,Q15835
Protein_171,P32298
Protein_172,Q8WTQ7
Protein_173,P49840
Protein_175,P08631
Protein_177,Q9H2X6
Protein_178,Q9H422
Protein_179,Q8NE63
Protein_181,P57058
Protein_183,P08069
Protein_184,O15111
Protein_185,O14920
Protein_186,Q14164
Protein_188,P14616
Protein_187,P06213
Protein_189,P51617
Protein_191,Q9NWZ3
Protein_192,Q08881
Protein_329,P17612
Protein_330,P22694
Protein_86,P48729
Protein_86,Q8BK63
Protein_89,P49674
Protein_90,Q9HCP0
Protein_92,Q9Y6M4
Protein_50,Q14012
Protein_52,Q96NX5
Protein_53,Q9UQM7
Protein_53,Q5RCC4
Protein_54,Q13554
Protein_57,Q16566
Protein_348,Q13237
Protein_200,P10721
Protein_58,Q8N5S9
Protein_59,Q96RR4
Protein_344,Q15139
Protein_345,Q9BZL6
Protein_346,O94806
Protein_339,Q05655
Protein_340,Q02156
Protein_341,P24723
Protein_343,Q04759
Protein_380,P23443
Protein_399,P43405
Protein_208,O95835
Protein_210,P06239
Protein_211,P53667
Protein_212,P53671
Protein_218,P07948
Protein_254,Q02779
Protein_255,Q16584
Protein_219,O43283
Protein_439,Q56UN5
Protein_221,Q13233
Protein_223,Q9Y2U5
Protein_224,Q99759
Protein_32,Q99683
Protein_33,O95382
Protein_400,O43318
Protein_226,Q12851
Protein_227,Q8IVH8
Protein_229,Q9Y4K4
Protein_220,P20794
Protein_230,P49137
Protein_232,Q9P0L2
Protein_236,Q9Y2H9
Protein_243,Q14680
Protein_245,P08581
Protein_142,P28482
Protein_141,P27361
Protein_144,P31152
Protein_143,Q16659
Protein_145,Q13164
Protein_197,Q91Y86
Protein_285,Q15759
Protein_286,O15264
Protein_284,Q16539
Protein_146,Q8TD08
Protein_237,Q02750
Protein_238,P36507
Protein_240,P45985
Protein_241,Q13163
Protein_242,P52564
Protein_249,O14733
Protein_257,Q9Y5S2
Protein_106,Q6DT37
Protein_263,P42345
Protein_264,O15146
Protein_266,Q9H1R3
Protein_252,Q32MK0
Protein_268,Q8NEV4
Protein_272,Q96PY6
Protein_274,P51955
Protein_275,P51956
Protein_276,P51957
Protein_277,Q6P3R8
Protein_278,Q9HC98
Protein_279,Q8TDX7
Protein_281,Q8IY84
Protein_282,Q9UBE8
Protein_31,O60285
Protein_387,Q9H093
Protein_283,O95747
Protein_288,Q13153
Protein_289,Q13177
Protein_293,Q9P286
Protein_292,Q9NQU5
Protein_299,O15530
Protein_297,P16234
Protein_298,P09619
Protein_304,Q16816
Protein_305,P15735
Protein_327,P78356
Protein_325,Q99755
Protein_326,O60331
Protein_322,P11309
Protein_323,Q9P1W9
Protein_308,P42336
Protein_318,P42338
Protein_320,P48736
Protein_333,Q16513
Protein_334,P0A5S5
Protein_334,A5TY84
Protein_334,P9WI80
Protein_334,P9WI81
Protein_335,P53350
Protein_336,Q9NYY3
Protein_337,Q9H4B4
Protein_350,P51817
Protein_351,Q13523
Protein_46,Q13882
Protein_354,P04049
Protein_354,Q5R5M7
Protein_359,Q9BRS2
Protein_361,O14730
Protein_362,Q13546
Protein_363,O43353
Protein_366,Q13464
Protein_367,O75116
Protein_259,Q04912
Protein_368,P08922
Protein_381,Q52WX2
Protein_382,P0C264
Protein_383,Q96BR1
Protein_383,Q5R7A7
Protein_384,P57059
Protein_385,Q9H0K1
Protein_386,Q9H2G2
Protein_388,Q9NRH2
Protein_389,P12931
Protein_390,Q9H3Y6
Protein_391,Q96SB4
Protein_393,Q9UPE1
Protein_108,O94768
Protein_434,Q8WU08
Protein_435,Q9NY57
Protein_436,Q86UX6
Protein_271,Q9Y2H1
Protein_214,O94804
Protein_213,Q15831
Protein_261,Q9Y6E0
Protein_438,O00506
Protein_262,Q9P289
Protein_395,Q9BYT3
Protein_270,Q15208
Protein_270,Q5R8M1
Protein_398,Q9UEW8
Protein_258,Q13043
Protein_401,Q7L7X3
Protein_402,Q9UL54
Protein_404,Q9UHD2
Protein_406,Q15569
Protein_407,P36897
Protein_408,P37173
Protein_409,P35590
Protein_411,Q9UKI8
Protein_416,Q59H18
Protein_413,Q9UKE5
Protein_420,Q9BX84
Protein_421,Q9BXA7
Protein_422,P33981
Protein_423,P42681
Protein_426,Q06418
Protein_429,Q6PHR2
Protein_157,P17948
Protein_430,P35968
Protein_431,Q86Y07
Protein_432,P30291
Protein_433,P0C1S8
Protein_437,P07947
