Protein_ID,UniProt_ID
Protein_Q9Y478,Q9Y478
Protein_O43741,O43741
Protein_P54619,P54619
Protein_Q9UGJ0,Q9UGJ0
Protein_Q9UGI9,Q9UGI9
Protein_Q13131,Q13131
Protein_P54646,P54646
Protein_P00519,P00519
Protein_P42684,P42684
Protein_Q07912,Q07912
Protein_Q04771,Q04771
Protein_P31749,P31749
Protein_P31751,P31751
Protein_Q9Y243,Q9Y243
Protein_Q9UM73,Q9UM73
Protein_Q96GD4,Q96GD4
Protein_P51451,P51451
Protein_P51813,P51813
Protein_P15056,P15056
Protein_Q8TDC3,Q8TDC3
Protein_Q06187,Q06187
Protein_Q15078,Q15078
Protein_O00311,O00311
Protein_Q9BWU1,Q9BWU1
Protein_P06493,P06493
Protein_P24941,P24941
Protein_P11802,P11802
Protein_Q00535,Q00535
Protein_Q00534,Q00534
Protein_P50613,P50613
Protein_P49336,P49336
Protein_P50750,P50750
Protein_O14757,O14757
Protein_O96017,O96017
Protein_P49759,P49759
Protein_P49760,P49760
Protein_Q9HAZ1,Q9HAZ1
Protein_P07333,P07333
Protein_P68400,P68399
Protein_P68400,P68400
Protein_P19784,P19784
Protein_P67870,P67868
Protein_P67870,P67869
Protein_P67870,P67870
Protein_P67870,P67871
Protein_P67870,P67872
Protein_P67870,P67873
Protein_P67870,P67874
Protein_P41240,P41240
Protein_O43293,O43293
Protein_O15075,O15075
Protein_Q13627,Q13627
Protein_Q9Y463,Q9Y463
Protein_O43781,O43781
Protein_Q9NR20,Q9NR20
Protein_O00418,O00418
Protein_P00533,P00533
Protein_P29317,P29317
Protein_P29323,P29323
Protein_P54760,P54760
Protein_P04626,P04626
Protein_Q15303,Q15303
Protein_Q05397,Q05397
Protein_Q14289,Q14289
Protein_P16591,P16591
Protein_P07332,P07332
Protein_P11362,P11362
Protein_P21802,P21802
Protein_P22607,P22607
Protein_P22455,P22455
Protein_P09769,P09769
Protein_P36888,P36888
Protein_P42685,P42685
Protein_P06241,P06241
Protein_P34947,P34947
Protein_P49840,P49840
Protein_P49841,P49841
Protein_P08631,P08631
Protein_Q9H2X6,Q9H2X6
Protein_Q8NE63,Q8NE63
Protein_P08069,P08069
Protein_O15111,O15111
Protein_O14920,O14920
Protein_Q14164,Q14164
Protein_P06213,P06213
Protein_P51617,P51617
Protein_Q9NWZ3,Q9NWZ3
Protein_Q08881,Q08881
Protein_P23458,P23458
Protein_O60674,O60674
Protein_P52333,P52333
Protein_P17612,P17612
Protein_P22694,P22694
Protein_P22612,P22612
Protein_P48729,P48729
Protein_P48729,Q8BK63
Protein_P48730,P35508
Protein_P48730,P48730
Protein_P49674,P49674
Protein_Q9HCP0,Q9HCP0
Protein_P78368,P78368
